Country,U5MR,Sanitatation Facilities,Skilled Attendant at  birth ,ODA inflow,HDI 2013,GNI 2013,Population (Thousands) 2013,Life Expectancy 2013,Total Fertility Rate,GNIper capital (US$)
United Arab Emirates,8,98,100,,0.827,"38,620",9346.13,76.84,1.8,"38,620"
United Kingdom,5,100,,,0.892,"39,110",63136.27,80.55,1.89,"39,110"
United Republic of Tanzania,52,12,49,"2,832",0.488,630,49253.13,61.53,5.21,630
United States,7,100,,,0.914,"53,670",320050.72,78.94,1.98,"53,670"
Uruguay,11,96,100,19,0.79,"15,180",3407.06,77.23,2.05,"15,180"
Uzbekistan,43,100,100,255,0.661,"1,900",28934.1,68.24,2.31,"1,900"
Vanuatu,17,58,89,101,0.616,"3,130",252.76,71.63,3.38,"3,130"
Venezuela (Bolivarian Republic of),15,,96,48,0.764,"12,550",30405.21,74.63,2.39,"12,550"
Viet Nam,24,75,93,"4,116",0.638,"1,730",91679.73,75.95,1.74,"1,730"
Yemen,51,53,36,709,0.5,"1,330",24407.38,63.11,4.08,"1,330"
Zambia,87,43,47,958,0.561,"1,480",14538.64,58.11,5.69,"1,480"
Zimbabwe,89,40,66,"1,001",0.492,820,14149.65,59.87,3.49,820
